Unnamed: 0,period,time,x,y,z,possession_start,possession_end,possession_number,scored,x_bin,y_bin
42363,2,312.6,56.60689,36.80993,3.13828,316.0,301.0,100002,0,12,7
42212,2,312.92,56.11614,37.2193,1.93992,316.0,301.0,100002,0,11,7
42190,2,313.8,50.03814,38.62129,2.65552,316.0,301.0,100002,0,10,7
42622,2,307.96,79.83571,13.19894,3.47852,316.0,301.0,100002,0,16,2
42641,2,307.2,81.16419,14.39082,5.05091,316.0,301.0,100002,0,17,2
42750,2,302.84,87.18811,25.95212,5.56635,316.0,301.0,100002,0,18,5
42479,2,313.68,51.3385,38.43193,0.64583,316.0,301.0,100002,0,10,7
42257,2,311.12,60.09634,34.26453,2.78866,316.0,301.0,100002,0,12,6
42631,2,307.6,80.65649,13.41748,5.16178,316.0,301.0,100002,0,17,2
42743,2,303.12,88.75778,25.88701,4.80848,316.0,301.0,100002,0,18,5
42208,2,313.08,55.15267,37.64877,3.91108,316.0,301.0,100002,0,11,7
42562,2,310.36,59.56613,26.35792,2.77087,316.0,301.0,100002,0,12,5
42725,2,303.84,88.74638,27.99724,5.88969,316.0,301.0,100002,0,18,5
42792,2,301.16,82.8288,14.64037,3.19509,316.0,301.0,100002,0,17,2
42564,2,310.28,59.60037,25.73189,3.22795,316.0,301.0,100002,0,12,5
42582,2,309.56,67.4713,20.8272,4.34144,316.0,301.0,100002,0,14,4
42516,2,312.2,58.85473,36.16407,3.75788,316.0,301.0,100002,0,12,7
42511,2,312.4,57.51581,36.30132,3.97742,316.0,301.0,100002,0,12,7
42187,2,313.92,48.33549,38.93278,3.87835,316.0,301.0,100002,0,10,7
42651,2,306.8,80.41906,14.91776,4.72486,316.0,301.0,100002,0,17,2
42291,2,315.48,32.88753,41.74152,4.33921,316.0,301.0,100002,0,6,8
42352,2,313.04,55.56565,37.60149,3.53813,316.0,301.0,100002,0,11,7
42596,2,309.0,66.24741,13.10006,1.71227,316.0,301.0,100002,0,14,2
42166,2,314.76,41.40722,40.09182,5.01883,316.0,301.0,100002,0,8,8
42681,2,305.6,80.79095,19.42622,0.5079,316.0,301.0,100002,0,17,3
42468,2,314.12,46.04738,39.32444,3.30983,316.0,301.0,100002,0,9,7
42291,2,315.48,32.88753,41.74152,4.33921,316.0,301.0,100002,0,6,8
42296,2,315.28,36.14395,40.87225,0.98313,316.0,301.0,100002,0,7,8
42285,2,315.72,29.80623,41.07561,3.27419,316.0,301.0,100002,0,6,8
42628,2,307.72,79.87459,13.05291,4.49585,316.0,301.0,100002,0,16,2
42423,2,315.92,27.12939,40.38342,0.5069,316.0,301.0,100002,0,5,8
42737,2,303.36,87.81347,27.63568,6.25707,316.0,301.0,100002,0,18,5
42456,2,314.6,42.94123,39.82948,4.80775,316.0,301.0,100002,0,9,7
42331,2,313.88,48.97531,38.87624,3.63815,316.0,301.0,100002,0,10,7
42459,2,314.48,44.34243,39.65241,3.27901,316.0,301.0,100002,0,9,7
42502,2,312.76,56.5471,36.97563,1.48117,316.0,301.0,100002,0,12,7
42158,2,315.08,38.39268,40.6378,2.88782,316.0,301.0,100002,0,8,8
42209,2,313.04,55.56565,37.60149,3.53813,316.0,301.0,100002,0,11,7
42572,2,309.96,63.00503,20.90632,2.74521,316.0,301.0,100002,0,13,4
42689,2,305.28,81.97524,19.99795,3.14401,316.0,301.0,100002,0,17,3
42540,2,311.24,60.38043,34.45642,1.63012,316.0,301.0,100002,0,12,6
42302,2,315.04,38.68865,40.45826,3.26764,316.0,301.0,100002,0,8,8
42391,2,311.48,60.62001,35.20552,2.98724,316.0,301.0,100002,0,12,7
42619,2,308.08,80.02902,13.63941,2.74308,316.0,301.0,100002,0,17,2
42394,2,311.36,60.73508,34.67838,1.06966,316.0,301.0,100002,0,12,6
42643,2,307.12,80.97289,14.73108,4.80362,316.0,301.0,100002,0,17,2
42646,2,307.0,80.48705,14.74663,4.78242,316.0,301.0,100002,0,17,2
42296,2,315.28,36.14395,40.87225,0.98313,316.0,301.0,100002,0,7,8
42291,2,315.48,32.88753,41.74152,4.33921,316.0,301.0,100002,0,6,8
42670,2,306.04,81.48372,16.44397,3.31547,316.0,301.0,100002,0,17,3
42739,2,303.28,88.80571,25.8253,5.52043,316.0,301.0,100002,0,18,5
42463,2,314.32,45.39683,39.55546,0.60681,316.0,301.0,100002,0,9,7
42620,2,308.04,79.97285,13.35591,3.16805,316.0,301.0,100002,0,17,2
42150,2,315.4,34.17371,41.46571,3.34544,316.0,301.0,100002,0,7,8
42710,2,304.44,82.42267,26.40416,7.97645,316.0,301.0,100002,0,17,5
42257,2,311.12,60.09634,34.26453,2.78866,316.0,301.0,100002,0,12,6
42301,2,315.08,38.39268,40.6378,2.88782,316.0,301.0,100002,0,8,8
42179,2,314.24,45.6925,39.46003,2.00507,316.0,301.0,100002,0,9,7
42407,2,310.84,59.75968,32.38913,3.57331,316.0,301.0,100002,0,12,6
