run_id,profile,scope,config_id,design,n_bootstraps,possessions_per_bootstrap,samples_per_possession,lambda_qut,map_status,spatial_correlation,standardized_rmse,recovered_dynamic_range,error
perimeter__quarter_3__config_08,perimeter,quarter_3,8,one_factor_sweep,100,1000,150,13.082792755152306,ok,0.7155736744699341,0.7654201305636316,0.23075267672538624,
perimeter__quarter_4__config_08,perimeter,quarter_4,8,one_factor_sweep,100,1000,150,16.423776104820536,ok,0.8580698526291156,0.5377176410958339,0.3807302266359329,
perimeter__full_game__config_09,perimeter,full_game,9,one_factor_sweep,100,1000,250,14.465074492840197,ok,0.8713403395909216,0.5187765561343786,0.28562748432159424,
perimeter__quarter_1__config_09,perimeter,quarter_1,9,one_factor_sweep,100,1000,250,14.92804724985162,ok,0.7006074090932338,0.7977774031895429,0.2076776996254921,
perimeter__quarter_2__config_09,perimeter,quarter_2,9,one_factor_sweep,100,1000,250,14.867735216540998,ok,0.8778110187821054,0.4988852600150299,0.2796303115785122,
perimeter__quarter_3__config_09,perimeter,quarter_3,9,one_factor_sweep,100,1000,250,13.367840011325011,ok,0.731695974381974,0.7535601775183403,0.2649836912751198,
perimeter__quarter_4__config_09,perimeter,quarter_4,9,one_factor_sweep,100,1000,250,15.576014938785429,ok,0.8505190700312832,0.5484921032911251,0.4602479338645935,
perimeter__full_game__config_10,perimeter,full_game,10,individual_profile_like,100,10000,150,45.01249934402845,ok,0.8595736526233425,0.5452121016347634,0.48880843296647036,
perimeter__quarter_1__config_10,perimeter,quarter_1,10,individual_profile_like,100,10000,150,48.56117893645676,ok,0.6177012973750641,0.8867739109642219,0.6456728875637054,
perimeter__quarter_2__config_10,perimeter,quarter_2,10,individual_profile_like,100,10000,150,43.3752474049241,ok,0.8143738004310038,0.6257884345284888,0.6439017951488495,
